,Epoca,Train error,Val error
0,1,0.6175999939441681,0.4732999801635742
1,2,0.4654499888420105,0.4122999906539917
2,3,0.4087499976158142,0.3651999831199646
3,4,0.36982500553131104,0.3493000268936157
4,5,0.3428249955177307,0.3361999988555908
5,6,0.31882500648498535,0.31919997930526733
6,7,0.3081499934196472,0.2875000238418579
7,8,0.28839999437332153,0.30140000581741333
8,9,0.27799999713897705,0.29909998178482056
9,10,0.2701749801635742,0.2892000079154968
10,11,0.2559249997138977,0.27719998359680176
11,12,0.24489998817443848,0.2728000283241272
12,13,0.23610001802444458,0.2746000289916992
13,14,0.2306249737739563,0.267799973487854
14,15,0.22132498025894165,0.2742000222206116
15,16,0.21390002965927124,0.2700999975204468
16,17,0.2095249891281128,0.26099997758865356
17,18,0.20434999465942383,0.26660001277923584
18,19,0.1976500153541565,0.2710000276565552
19,20,0.18930000066757202,0.2653999924659729
