,Epoca,Train error,Val error
0,1,0.5911000072956085,0.4700999855995178
1,2,0.43827497959136963,0.38190001249313354
2,3,0.37517499923706055,0.36479997634887695
3,4,0.34119999408721924,0.32679998874664307
4,5,0.3128250241279602,0.3165000081062317
5,6,0.292900025844574,0.29830002784729004
6,7,0.274649977684021,0.27549999952316284
7,8,0.2647250294685364,0.2892000079154968
8,9,0.250124990940094,0.27139997482299805
9,10,0.23629999160766602,0.2914999723434448
10,11,0.23002499341964722,0.26270002126693726
11,12,0.2154499888420105,0.2710000276565552
12,13,0.20817500352859497,0.2746000289916992
13,14,0.2006250023841858,0.2662000060081482
14,15,0.19300001859664917,0.2563999891281128
15,16,0.18285000324249268,0.2519000172615051
16,17,0.17909997701644897,0.26649999618530273
17,18,0.17112499475479126,0.25449997186660767
18,19,0.16897499561309814,0.24709999561309814
19,20,0.16067498922348022,0.2523000240325928
