,Epoca,Train error,Val error
0,1,0.5689499974250793,0.448199987411499
1,2,0.39612501859664917,0.35759997367858887
2,3,0.32912498712539673,0.33329999446868896
3,4,0.2852500081062317,0.3197000026702881
4,5,0.2542499899864197,0.304099977016449
5,6,0.22542500495910645,0.2878999710083008
6,7,0.2003999948501587,0.3046000003814697
7,8,0.1849750280380249,0.3066999912261963
8,9,0.16757500171661377,0.30229997634887695
9,10,0.1498749852180481,0.3012999892234802
