,Epoca,Train error,Val error
0,1,0.6765249967575073,0.5543999969959259
1,2,0.541949987411499,0.4682999849319458
2,3,0.4867749810218811,0.4114000201225281
3,4,0.44642502069473267,0.38919997215270996
4,5,0.4193999767303467,0.37449997663497925
5,6,0.4002000093460083,0.37540000677108765
6,7,0.38349997997283936,0.3367000222206116
7,8,0.3704249858856201,0.32499998807907104
8,9,0.35839998722076416,0.3165000081062317
9,10,0.3510500192642212,0.31950002908706665
10,11,0.3360249996185303,0.29820001125335693
11,12,0.32634997367858887,0.3041999936103821
12,13,0.32272499799728394,0.28439998626708984
13,14,0.3143249750137329,0.30470001697540283
14,15,0.30752497911453247,0.27560001611709595
15,16,0.30435001850128174,0.27139997482299805
16,17,0.29409998655319214,0.2961999773979187
17,18,0.29269999265670776,0.2738000154495239
18,19,0.2895749807357788,0.2720000147819519
19,20,0.28437501192092896,0.26740002632141113
