,Epoca,Train error,Val error
0,1,0.6354750096797943,0.5189999938011169
1,2,0.4841499924659729,0.40390002727508545
2,3,0.42787498235702515,0.3977000117301941
3,4,0.39195001125335693,0.3565000295639038
4,5,0.36014997959136963,0.3309999704360962
5,6,0.34107500314712524,0.31870001554489136
6,7,0.31905001401901245,0.3173999786376953
7,8,0.30900001525878906,0.2979000210762024
8,9,0.29124999046325684,0.30699998140335083
9,10,0.28060001134872437,0.2889999747276306
10,11,0.26920002698898315,0.27859997749328613
11,12,0.25737500190734863,0.2979999780654907
12,13,0.25,0.2728999853134155
13,14,0.24124997854232788,0.2718999981880188
14,15,0.2340250015258789,0.2687000036239624
15,16,0.22617501020431519,0.2688000202178955
16,17,0.2194499969482422,0.2710999846458435
17,18,0.21729999780654907,0.27869999408721924
18,19,0.20807498693466187,0.25360000133514404
19,20,0.20069998502731323,0.25429999828338623
