,Epoca,Train error,Val error
0,1,0.9013999998569489,0.8995999991893768
1,2,0.8988500013947487,0.9047000035643578
2,3,0.8985999971628189,0.8995999991893768
3,4,0.8997500017285347,0.9011000022292137
4,5,0.8982250019907951,0.8984000012278557
5,6,0.898999996483326,0.8984000012278557
6,7,0.9002000018954277,0.9033000022172928
7,8,0.9023500010371208,0.8995999991893768
8,9,0.9019249975681305,0.8995999991893768
9,10,0.899899996817112,0.9013999998569489
10,11,0.8979500010609627,0.9033000022172928
11,12,0.9003999978303909,0.8984000012278557
12,13,0.899449996650219,0.9047000035643578
13,14,0.9023249968886375,0.9033000022172928
14,15,0.9022750034928322,0.9013999998569489
15,16,0.9013999998569489,0.9013999998569489
16,17,0.9001249969005585,0.9033000022172928
17,18,0.8998750001192093,0.9013999998569489
18,19,0.9037249982357025,0.9047000035643578
19,20,0.9010000005364418,0.9047000035643578
