,Epoca,Train error,Val error
0,1,0.7441500127315521,0.5992999970912933
1,2,0.6131750047206879,0.5340000092983246
2,3,0.5699500143527985,0.5293999910354614
3,4,0.5370000004768372,0.5160000026226044
4,5,0.5128749907016754,0.44830000400543213
5,6,0.4921000003814697,0.4416999816894531
6,7,0.4803749918937683,0.4093000292778015
7,8,0.4627249836921692,0.43080002069473267
8,9,0.4495750069618225,0.3723999857902527
9,10,0.43470001220703125,0.3808000087738037
10,11,0.42967498302459717,0.373199999332428
11,12,0.41782498359680176,0.3472999930381775
12,13,0.4086250066757202,0.3912000060081482
13,14,0.40207499265670776,0.3328999876976013
14,15,0.39182502031326294,0.33789998292922974
15,16,0.38942497968673706,0.3571000099182129
16,17,0.37907499074935913,0.31449997425079346
17,18,0.37519997358322144,0.328000009059906
18,19,0.3675749897956848,0.32419997453689575
19,20,0.36320000886917114,0.2914999723434448
