,Epoca,Train error,Val error
0,1,0.5748249888420105,0.47860002517700195
1,2,0.4273250102996826,0.39079999923706055
2,3,0.3555999994277954,0.34539997577667236
3,4,0.3134499788284302,0.3253999948501587
4,5,0.286050021648407,0.32239997386932373
5,6,0.2677749991416931,0.29509997367858887
6,7,0.24535000324249268,0.2809000015258789
7,8,0.22920000553131104,0.3101000189781189
8,9,0.21147501468658447,0.2692999839782715
9,10,0.19985002279281616,0.2767000198364258
10,11,0.1836249828338623,0.2824000120162964
11,12,0.17559999227523804,0.27539998292922974
12,13,0.16752499341964722,0.2710000276565552
13,14,0.15479999780654907,0.2760999798774719
14,15,0.14649999141693115,0.2753000259399414
15,16,0.13964998722076416,0.2734000086784363
16,17,0.13370001316070557,0.28070002794265747
17,18,0.1256999969482422,0.2886999845504761
18,19,0.1165500283241272,0.26670002937316895
19,20,0.1119999885559082,0.2802000045776367
