,Epoca,Train error,Val error
0,1,0.6542249917984009,0.5259000062942505
1,2,0.5133750140666962,0.475600004196167
2,3,0.457925021648407,0.39490002393722534
3,4,0.41930001974105835,0.3569999933242798
4,5,0.3957499861717224,0.3361999988555908
5,6,0.37652498483657837,0.3203999996185303
6,7,0.3598250150680542,0.32450002431869507
7,8,0.34782499074935913,0.32169997692108154
8,9,0.33730000257492065,0.29329997301101685
9,10,0.32757502794265747,0.2821999788284302
10,11,0.31905001401901245,0.3076000213623047
11,12,0.3087000250816345,0.28109997510910034
12,13,0.30309998989105225,0.27209997177124023
13,14,0.29567497968673706,0.26829999685287476
14,15,0.2884500026702881,0.2728000283241272
15,16,0.2789499759674072,0.26270002126693726
16,17,0.27492499351501465,0.2710000276565552
17,18,0.2707750201225281,0.2563999891281128
18,19,0.2720249891281128,0.25370001792907715
19,20,0.26464998722076416,0.24860000610351562
20,21,0.2585499882698059,0.2663000226020813
21,22,0.2558000087738037,0.2466999888420105
22,23,0.25222498178482056,0.24720001220703125
23,24,0.2512500286102295,0.2548999786376953
24,25,0.24470001459121704,0.23509997129440308
25,26,0.24164998531341553,0.2401999831199646
26,27,0.23849999904632568,0.2369999885559082
27,28,0.23952502012252808,0.2498999834060669
28,29,0.23292499780654907,0.22949999570846558
29,30,0.22852498292922974,0.24800002574920654
30,31,0.2292500138282776,0.23240000009536743
31,32,0.22612500190734863,0.2314000129699707
32,33,0.22484999895095825,0.23000001907348633
33,34,0.2246749997138977,0.22009998559951782
34,35,0.22304999828338623,0.2339000105857849
35,36,0.22100001573562622,0.2232000231742859
36,37,0.21969997882843018,0.23269999027252197
37,38,0.21412497758865356,0.21560001373291016
38,39,0.21207499504089355,0.22530001401901245
39,40,0.21132498979568481,0.22039997577667236
