,Epoca,Train error,Val error
0,1,0.5932250022888184,0.46820002794265747
1,2,0.4315750002861023,0.3889999985694885
2,3,0.3739749789237976,0.357699990272522
3,4,0.3355249762535095,0.330299973487854
4,5,0.3069499731063843,0.30010002851486206
5,6,0.2826250195503235,0.29809999465942383
6,7,0.2621999979019165,0.28140002489089966
7,8,0.24664998054504395,0.2843000292778015
8,9,0.23182499408721924,0.2853999733924866
9,10,0.2186499834060669,0.2842000126838684
10,11,0.2063249945640564,0.2832000255584717
11,12,0.1945750117301941,0.274399995803833
12,13,0.185325026512146,0.2767000198364258
13,14,0.1754249930381775,0.28280001878738403
14,15,0.1647999882698059,0.2799999713897705
15,16,0.15584999322891235,0.2824000120162964
16,17,0.14869999885559082,0.26999998092651367
17,18,0.140625,0.3044999837875366
18,19,0.13235002756118774,0.2752000093460083
19,20,0.12957501411437988,0.2742999792098999
