,Epoca,Train error,Val error
0,1,0.6112000048160553,0.4775000214576721
1,2,0.4581249952316284,0.39010000228881836
2,3,0.3901749849319458,0.3539000153541565
3,4,0.3514000177383423,0.3382999897003174
4,5,0.32419997453689575,0.3281000256538391
5,6,0.3030499815940857,0.3215000033378601
6,7,0.2829499840736389,0.3044000267982483
7,8,0.2633500099182129,0.30970001220703125
8,9,0.24744999408721924,0.2996000051498413
9,10,0.2378000020980835,0.2736999988555908
10,11,0.2240999937057495,0.28210002183914185
11,12,0.21307498216629028,0.28280001878738403
12,13,0.20327502489089966,0.26670002937316895
13,14,0.19230002164840698,0.2835000157356262
14,15,0.18242502212524414,0.2847999930381775
15,16,0.17559999227523804,0.26270002126693726
16,17,0.16409999132156372,0.2745000123977661
17,18,0.16072499752044678,0.27170002460479736
18,19,0.1537250280380249,0.2734000086784363
19,20,0.14899998903274536,0.2749999761581421
