,Dimension,TrainError,TestError
0,2,0.09479999999999997,0.10386500000000001
1,4,0.0668,0.11170499999999998
2,8,0.05600000000000001,0.11640000000000002
3,16,0.07139999999999998,0.12362000000000002
4,32,0.10239999999999998,0.145525
