,e_train,e_val,e_test
0,0.17537252944244294,0.28832000595150037,0.22211022975348185
1,0.16027624325854248,0.2778492423769692,0.2221576839647335
2,0.17397230527455532,0.28307213302047474,0.22079468702515237
3,0.28120915644441485,0.3809374425780876,0.30666318552181826
4,0.16697726672081067,0.2742089925065947,0.2137740410400013
5,0.40958435567286666,0.5020562560746861,0.4201317200439946
6,0.1603611774241714,0.26754991531085104,0.2102251198786573
7,0.23367597170318624,0.35987207393508797,0.31478526908636356
8,0.20191661912482883,0.30495662408023244,0.23776976301443692
9,0.16190359861769518,0.27350974466000294,0.22063534595403647
10,0.16903441899133098,0.2820156077704377,0.23142181431726108
11,0.18095138495647534,0.29734821531671507,0.2484414843640662
12,0.16764322317589236,0.2832577706215818,0.23121548384897367
13,0.17164627166172486,0.2789377971693803,0.21596951030198108
14,0.18797229777332286,0.30645608430003757,0.2574810840857539
15,0.19617211298211237,0.31851834721628386,0.26870781823113377
16,0.1617361087440882,0.27370876819310885,0.21980133468812033
17,0.24243587572245068,0.3581674491358392,0.31824087420492225
18,0.17089806057280793,0.27618607061253786,0.21441591023845888
19,0.1578403841904945,0.26933311610571237,0.21238720925845114
20,0.16199736461202285,0.27302706786808145,0.22006402435357478
21,0.15873842959641765,0.2689726852075982,0.21004413859391807
22,0.26110324696323756,0.36219738350017927,0.2898197286856066
23,0.15867909469576053,0.2687631858868435,0.21470442497752731
24,0.1922883912579697,0.2989384959458198,0.2320590531501935
25,0.1946261159794269,0.31280549989429596,0.26595599282710936
26,0.24537513020288532,0.34856927517251834,0.2756603227714346
27,0.28037907749780655,0.40094870070776006,0.364104391630765
28,0.18914627064037717,0.3034163336521961,0.2574206949949131
29,0.15745890095484721,0.26842662811401863,0.21102141146200035
30,0.1674012404146381,0.2770961502645282,0.21385666743694395
31,0.18402720483618315,0.2960050959305584,0.25007532783458775
32,0.18943226137895267,0.2968901638403408,0.23001890498544922
33,0.15927172690234245,0.2713323181461906,0.21079946957368093
34,0.22730426551700667,0.3500466123323433,0.3062615737670079
35,0.16156977633484984,0.27853414954662126,0.21364036122521043
36,0.35463713534971736,0.48528675180515957,0.44976708551709327
37,0.3034063870707171,0.4240574374789245,0.3887172883943799
38,0.15680527476967512,0.26753216442913935,0.2100645460573489
39,0.16574370464611488,0.27750595129350275,0.21408136983767548
40,0.16174593068425763,0.27765198679961783,0.22360931220066205
41,0.18172202760712033,0.294076444119515,0.22661961492038535
42,0.15763536880734966,0.27486017300069937,0.2120522257841943
43,0.1600008767391797,0.2791089432206171,0.2225913385922088
44,0.16197130075390295,0.2794841789667408,0.21401895972786367
45,0.1636557453090408,0.2801237438196614,0.214424140764473
46,0.22762063067145402,0.3514518607376534,0.30698378715994074
47,0.3126316899236958,0.44325478658717776,0.40438230734676556
48,0.22367368628392728,0.34700399364160284,0.30172554950231983
49,0.16485598579381391,0.2828447297053053,0.2282861886818999
50,0.1603375261923261,0.27362635622412795,0.20920032842848918
51,0.17684734726666929,0.2938032027771703,0.24267010544798756
52,0.16892692641523852,0.2813695278407712,0.21373733984551954
53,0.16007242266006366,0.2762478013175226,0.2198717145489723
54,0.24512807370229683,0.3571575682070207,0.2774145088434291
55,0.1560284956539756,0.2726489868110152,0.20773145005524304
56,0.1954814258027099,0.30926182962584037,0.23433370935663783
