,Dimension,TrainError,TestError
0,2,0.09019999999999997,0.10576
1,4,0.08339999999999999,0.11474499999999999
2,8,0.03300000000000003,0.13257
3,16,0.02200000000000001,0.13121
4,32,0.012400000000000012,0.139605
